random,as1,as2,as4,as5
69.3,70.7,70.35,69.7,70.66
69.3,70.2,71.8,69.7,70.86
69.3,70.1,71.8,69.7,70.86
69.3,70.7,71.15,71.025,70.86
69.3,70.3,71.15,71.025,70.86
69.3,69.8,70.15,71.025,70.86
69.3,70.7,70.15,71.025,70.92
69.3,70.7,70.1,70.0,70.92
69.3,71.0,70.1,70.0,70.92
69.3,70.5,71.45,70.0,70.92
69.3,71.0,71.45,70.0,70.92
69.3,70.9,71.6,69.775,70.78
69.3,70.8,71.6,69.775,70.78
69.3,70.7,70.85,69.775,70.78
69.3,69.3,70.85,69.775,70.78
69.3,70.1,70.35,70.2,70.78
69.3,70.8,70.35,70.2,70.74000000000001
69.3,71.3,70.45,70.2,70.74000000000001
69.3,70.9,70.45,70.2,70.74000000000001
69.3,70.9,69.8,70.925,70.74000000000001
69.3,69.0,69.8,70.925,70.74000000000001
69.3,71.4,69.95,70.925,71.1
69.3,70.1,69.95,70.925,71.1
69.3,69.2,70.8,70.675,71.1
69.3,70.7,70.8,70.675,71.1
69.3,69.8,70.8,70.675,71.1
69.3,71.0,70.8,70.675,71.02000000000001
69.3,71.1,70.65,70.6,71.02000000000001
69.3,71.2,70.65,70.6,71.02000000000001
69.3,71.2,70.15,70.6,71.02000000000001
69.3,70.8,70.15,70.6,71.02000000000001
69.3,71.8,70.25,70.575,70.66
69.3,70.7,70.25,70.575,70.66
69.3,70.6,70.05,70.575,70.66
69.3,71.1,70.05,70.575,70.66
69.3,71.6,70.45,71.2,70.66
69.3,71.3,70.45,71.2,70.85999999999999
69.3,71.5,71.75,71.2,70.85999999999999
69.3,71.0,71.75,71.2,70.85999999999999
69.3,71.6,71.75,70.05,70.85999999999999
69.3,70.0,71.75,70.05,70.85999999999999
69.3,71.3,70.65,70.05,71.54
69.3,71.1,70.65,70.05,71.54
69.3,70.1,70.5,70.575,71.54
69.3,69.8,70.5,70.575,71.54
69.3,70.3,71.45,70.575,71.54
69.3,71.3,71.45,70.575,71.38
69.3,71.1,71.9,71.225,71.38
69.3,71.7,71.9,71.225,71.38
69.3,70.8,72.2,71.225,71.38
69.3,70.1,72.2,71.225,71.38
69.3,70.6,71.45,70.325,71.36
69.3,70.6,71.45,70.325,71.36
69.3,70.5,71.2,70.325,71.36
69.3,70.9,71.2,70.325,71.36
69.3,69.7,70.65,70.575,71.36
69.3,71.3,70.65,70.575,70.94000000000001
69.3,71.6,70.5,70.575,70.94000000000001
69.3,69.7,70.5,70.575,70.94000000000001
69.3,70.1,71.4,70.5,70.94000000000001
69.3,70.6,71.4,70.5,70.94000000000001
69.3,71.0,70.2,70.5,71.1
69.3,71.6,70.2,70.5,71.1
69.3,70.3,71.8,70.7,71.1
69.3,71.1,71.8,70.7,71.1
69.3,71.0,70.05,70.7,71.1
69.3,71.5,70.05,70.7,71.08000000000001
69.3,70.3,71.4,70.275,71.08000000000001
69.3,70.3,71.4,70.275,71.08000000000001
69.3,72.0,70.75,70.275,71.08000000000001
69.3,70.9,70.75,70.275,71.08000000000001
69.3,71.2,72.1,70.25,71.34
69.3,71.0,72.1,70.25,71.34
69.3,71.1,71.65,70.25,71.34
69.3,70.8,71.65,70.25,71.34
69.3,71.2,70.85,71.025,71.34
69.3,71.0,70.85,71.025,70.88
69.3,71.3,71.65,71.025,70.88
69.3,72.3,71.65,71.025,70.88
69.3,70.4,72.15,71.425,70.88
69.3,70.8,72.15,71.425,70.88
69.3,71.3,71.4,71.425,71.22
69.3,71.3,71.4,71.425,71.22
69.3,71.6,71.5,70.5,71.22
69.3,71.2,71.5,70.5,71.22
69.3,71.1,71.05,70.5,71.22
69.3,70.6,71.05,70.5,71.24000000000001
69.3,71.1,71.1,70.75,71.24000000000001
69.3,70.7,71.1,70.75,71.24000000000001
69.3,71.3,70.25,70.75,71.24000000000001
69.3,71.7,70.25,70.75,71.24000000000001
69.3,71.3,71.85,70.875,71.14000000000001
69.3,72.4,71.85,70.875,71.14000000000001
69.3,71.3,71.55,70.875,71.14000000000001
69.3,71.2,71.55,70.875,71.14000000000001
69.3,70.8,71.55,70.95,71.14000000000001
69.3,71.7,71.55,70.95,71.3
69.3,69.9,70.9,70.95,71.3
69.3,71.3,70.9,70.95,71.3
69.3,71.0,71.45,71.1,71.3
69.3,70.4,71.45,71.1,71.3
69.3,70.9,72.35,71.1,71.2
69.3,70.1,72.35,71.1,71.2
69.3,71.3,71.05,70.575,71.2
69.3,72.1,71.05,70.575,71.2
69.3,70.7,71.05,70.575,71.2
69.3,70.7,71.05,70.575,70.76
69.3,70.9,72.5,71.175,70.76
69.3,70.6,72.5,71.175,70.76
69.3,70.1,71.55,71.175,70.76
69.3,70.5,71.55,71.175,70.76
69.3,72.4,70.85,71.25,70.64000000000001
69.3,71.2,70.85,71.25,70.64000000000001
69.3,71.2,71.2,71.25,70.64000000000001
69.3,72.3,71.2,71.25,70.64000000000001
69.3,71.3,71.65,70.625,70.64000000000001
69.3,72.5,71.65,70.625,71.46
69.3,71.5,71.8,70.625,71.46
69.3,70.7,71.8,70.625,71.46
69.3,70.9,72.65,71.475,71.46
69.3,71.1,72.65,71.475,71.46
69.3,71.5,72.1,71.475,71.54
69.3,71.9,72.1,71.475,71.54
69.3,70.1,72.15,71.4,71.54
69.3,71.6,72.15,71.4,71.54
69.3,72.4,71.6,71.4,71.54
69.3,71.1,71.6,71.4,71.36
69.3,71.0,72.65,70.9,71.36
69.3,71.8,72.65,70.9,71.36
69.3,71.2,72.65,70.9,71.36
69.3,70.1,72.65,70.9,71.36
69.3,71.2,71.4,70.975,71.82
69.3,72.1,71.4,70.975,71.82
69.3,70.9,71.6,70.975,71.82
69.3,72.1,71.6,70.975,71.82
69.3,71.3,71.45,71.425,71.82
69.3,71.7,71.45,71.425,71.74
69.3,71.7,71.8,71.425,71.74
69.3,71.4,71.8,71.425,71.74
69.3,70.9,71.5,71.075,71.74
69.3,71.4,71.5,71.075,71.74
69.3,71.0,71.6,71.075,71.3
69.3,70.7,71.6,71.075,71.3
69.3,70.8,72.7,71.15,71.3
69.3,71.0,72.7,71.15,71.3
69.3,71.0,71.8,71.15,71.3
69.3,71.8,71.8,71.15,71.58
69.3,70.6,71.5,71.05,71.58
69.3,72.3,71.5,71.05,71.58
69.3,70.5,70.55,71.05,71.58
69.3,70.8,70.55,71.05,71.58
69.3,71.3,71.85,70.5,70.92
69.3,70.8,71.85,70.5,70.92
69.3,70.9,72.5,70.5,70.92
69.3,70.6,72.5,70.5,70.92
69.3,71.1,71.3,71.6,70.92
69.3,71.8,71.3,71.6,71.26
69.3,70.2,71.8,71.6,71.26
69.3,71.0,71.8,71.6,71.26
69.3,71.2,72.45,70.925,71.26
69.3,70.7,72.45,70.925,71.26
69.3,70.4,70.25,70.925,71.38
69.3,71.1,70.25,70.925,71.38
69.3,71.4,71.7,70.95,71.38
69.3,71.1,71.7,70.95,71.38
69.3,70.7,72.25,70.95,71.38
69.3,69.9,72.25,70.95,71.5
69.3,70.9,72.0,70.95,71.5
69.3,70.1,72.0,70.95,71.5
69.3,70.2,72.3,70.95,71.5
69.3,71.5,72.3,70.95,71.5
69.3,71.0,72.95,70.725,70.5
69.3,70.6,72.95,70.725,70.5
69.3,71.6,72.15,70.725,70.5
69.3,72.0,72.15,70.725,70.5
69.3,71.4,72.0,71.45,70.5
